Simulation Log Export
Generated: 2026-04-24T14:01:13
Rows: 2035

t_s	x_m	z_m	vx	vz	mach	miss_distance_m	rcs_dbsm	guidance_phase
0.0	-19991.50000000001	4.9995095	849.9999999962279	-0.0980999999996735	2.4978694809050364	19991.500625143068	9.00102875883484	cruise
0.01	-19983.000000000102	4.998561098924308	849.9999999856601	-0.09158021513883992	2.49786947873623	19983.000625171815	9.001087800755352	cruise
0.02	-19974.50000000034	4.9971559763217615	849.9999999615407	-0.18944430536912293	2.4978695262064767	19974.50062508651	9.000208563406723	cruise
0.03	-19966.000000000924	4.995326834021331	849.9999999222791	-0.17638415471732577	2.4978695178320987	19966.00062489549	9.000326053592502	cruise
0.04	-19957.50000000196	4.993073047583226	849.9999998617856	-0.27437313290015375	2.497869594006582	19957.50062459868	9.000554660876963	cruise
0.05	-19949.00000000376	4.99042751427167	849.9999997797689	-0.25473352941204236	2.4978695758026053	19949.000624204633	9.00037835409919	cruise
0.06	-19940.50000000645	4.987387778189118	849.9999996706501	-0.3532136870922046	2.4978696789762513	19940.500623712887	9.00126374098336	cruise
0.07	-19932.000000010437	4.983987027078816	849.99999953532	-0.32693653497031916	2.4978696476837885	19932.00062313221	9.001028084297166	cruise
0.08	-19923.500000015843	4.980220941231746	849.9999993685703	-0.42628063443376885	2.497869776543083	19923.500622461706	9.001921465771936	cruise
0.09	-19915.000000023167	4.976123096685054	849.9999991723713	-0.3932882749085149	2.4978697292252288	19915.000621710355	9.00162574520288	cruise
0.1	-19906.50000003251	4.971687272477373	849.9999989417591	-0.4938765666139957	2.497869882807628	19906.500620876803	9.00253052011295	cruise
0.11	-19898.000000044438	4.966947533797128	849.9999986796944	-0.45407116944138076	2.49786981681039	19898.000619970244	9.002173840924097	cruise
0.12	-19889.500000059033	4.96189571568493	849.9999983813434	-0.5562924529800501	2.4978699944675986	19889.500618988837	9.003093485384378	cruise
0.13	-19881.000000076925	4.956566476666155	849.9999980505804	-0.5095553507841603	2.497869907384566	19881.000617941994	9.002674766071008	cruise
0.14	-19872.500000098145	4.950949659499308	849.9999976825985	-0.6138080825625454	2.497870108749339	19872.500616827347	9.003612843450414	cruise
0.15	-19864.000000123386	4.9450806238617355	849.9999972821205	-0.5599990449647846	2.4978699983897856	19864.00061565455	9.003130809250756	cruise
0.16	-19855.500000152628	4.938947166156783	849.9999968442727	-0.6666924959979974	2.4978702233459713	19855.50061442068	9.004090980611796	cruise
0.17	-19847.00000018661	4.9325854589754865	849.999996374571	-0.6056489402784214	2.497870087706099	19847.000613135646	9.003544156423937	cruise
0.18	-19838.500000225256	4.925981192235511	849.9999958679904	-0.7152044076838688	2.4978703363616157	19838.500611795946	9.004530191412805	cruise
0.19	-19830.000000269356	4.919171467484648	849.9999953307937	-0.6467405425108748	2.4978701735986784	19830.000610411753	9.003916894105153	cruise
0.2	-19821.50000031876	4.91213980167936	849.999994757728	-0.759592618508412	2.4978704462611856	19821.50060897898	9.004932682377358	cruise
0.21	-19813.0000003743	4.904924346001701	849.9999941557654	-0.6834985170507858	2.4978702546702407	19813.000607508064	9.004251012465398	cruise
0.22	-19804.500000435757	4.897506371318706	849.9999935193553	-0.8000964195042155	2.4978705518252555	19804.500605994297	9.005300575630045	cruise
0.23	-19796.000000504006	4.889925204131336	849.9999928561484	-0.7161370180033615	2.497870329818328	19796.00060444844	9.004548408278119	cruise
0.24	-19787.50000057874	4.882159789107163	849.9999921602337	-0.8369459867811853	2.497870652109565	19787.50060286513	9.005635912479663	cruise
0.25	-19779.000000660883	4.874250759151405	849.9999914399167	-0.7448600044103482	2.497870398197011	19779.000601255455	9.004810887797234	cruise
0.26	-19770.500000750042	4.866174645288565	849.999990688868	-0.8703627681016473	2.497870746408744	19770.50059961338	9.005940656872966	cruise
0.27	-19762.00000084718	4.857973523729929	849.9999899160308	-0.7698615436722561	2.4978704591826246	19762.000597950366	9.005040169444712	cruise
0.28	-19753.500000951815	4.849621416703918	849.9999891146048	-0.9005598614674588	2.49787083422388	19753.500596259673	9.006216698801914	cruise
0.29	-19745.000001064953	4.841161986885554	849.999988294158	-0.7913261022593662	2.497870512343177	19745.000594553152	9.005237886452623	cruise
0.3	-19736.500001186017	4.83256664444343	849.9999874473716	-0.9277423860964331	2.497870915233586	19736.50059282334	9.006465857628413	cruise
0.31	-19728.00000131606	4.823880788394317	849.9999865844311	-0.8094288237878133	2.497870557411093	19728.000591082524	9.005405589322569	cruise
0.32	-19719.500001454406	4.815073105044133	849.9999856974547	-0.9521078461731421	2.4978709892682445	19719.500589322473	9.00668988534199	cruise
0.33	-19711.000001602155	4.806190886840985	849.9999847972426	-0.8243357945260283	2.4978705942589916	19711.00058755595	9.005544748212909	cruise
0.34	-19702.50000175853	4.7971999754291055	849.9999838753095	-0.9738464877672387	2.4978710562871367	19702.50058577394	9.00689046974922	cruise
0.35000000000000003	-19694.000001924684	4.7881497215087325	849.9999829430708	-0.8362042963850147	2.497870622878221	19694.000583989713	9.00565675520049	cruise
0.36	-19685.500002099732	4.7790029917797545	849.9999819913999	-0.9931416493209628	2.497871116358192	19685.500582193436	9.007069237611823	cruise
0.37	-19677.000002284884	4.769811368296413	849.9999810323321	-0.8451830474333242	2.4978706433598807	19677.00058039893	9.005742926413488	cruise
0.38	-19668.500002479144	4.760534602528179	849.9999800560646	-1.010170106116443	2.497871169640111	19668.500578595507	9.007227757728431	cruise
0.39	-19660.00000268378	4.751226689848249	849.9999790752598	-0.8514124299641317	2.497870655878124	19660.00057679758	9.005804504064102	cruise
0.4	-19651.50000289769	4.741844115652192	849.999978079406	-1.025102409142903	2.497871216366636	19651.50057499359	9.00736754393304	cruise
0.41000000000000003	-19643.0000031222	4.732443480076356	849.9999770818029	-0.8550247061275009	2.4978706606754923	19643.000573198588	9.00584265836128	cruise
0.42	-19634.500003356097	4.722977840451191	849.9999760711991	-1.0381032187939145	2.4978712568327697	19634.500571400084	9.007490058099386	cruise
0.43	-19626.000003600773	4.713506603252152	849.9999750615441	-0.8561442211256985	2.4978706580501195	19626.00056961382	9.005858489315216	cruise
0.44	-19617.5000038549	4.703979223976749	849.9999740408183	-1.049331633835533	2.4978712913827525	19617.50056782636	9.007596713061504	cruise
0.45	-19609.000004119942	4.694458127838408	849.9999730236354	-0.8548875939532983	2.497870648344607	19609.000566054176	9.005853028422955	cruise
0.46	-19600.500004394456	4.684888982287518	849.9999719971802	-1.0589415160975306	2.497871320399629	19600.50056428284	9.007688875498001	cruise
0.47000000000000003	-19592.000004679998	4.675309067133007	849.99997097059	-0.8570415149314644	2.497870648685463	19592.000562522855	9.00587825438391	cruise
0.48	-19583.500004975067	4.665690337190897	849.999969936825	-1.0667044733586517	2.497871342869539	19583.500560766064	9.007764501043127	cruise
0.49	-19575.000005281283	4.656032792463908	849.9999688968002	-0.8648044721678722	2.497870665697198	19575.000559014134	9.005953926787694	cruise
0.5	-19566.500005597147	4.646347539793492	849.9999678521771	-1.0722460617831227	2.497871357233197	19566.500557268246	9.007820240954876	cruise
0.51	-19558.000005924252	4.636634579182347	849.9999668037018	-0.8703460605758538	2.4978706761678864	19558.000555530038	9.006009701956378	cruise
0.52	-19549.500006261078	4.62690429046323	849.9999657530683	-1.0757116831156286	2.497871363932536	19549.500553800477	9.007857384571338	cruise
0.53	-19541.000006609196	4.617156673638807	849.9999647008608	-0.8738116818997722	2.4978706804371855	19541.000552081165	9.006046869971946	cruise
0.54	-19532.50000696706	4.607401416701212	849.9999636487889	-1.0772397054882386	2.497871363435526	19532.500550372857	9.007877159011825	cruise
0.55	-19524.000007336217	4.59763851965307	849.9999625972821	-0.8753397042712809	2.497870678875644	19524.000548677122	9.00606665864634	cruise
0.56	-19515.500007715105	4.587877012380978	849.9999615480517	-1.0769617500171562	2.4978713562271038	19515.500546994528	9.007880731725574	cruise
0.5700000000000001	-19507.000008105246	4.578116894887516	849.9999605013799	-0.8750617488060971	2.497870671875446	19507.000545326602	9.006070236092588	cruise
0.58	-19498.500008505063	4.568366571306418	849.9999594589685	-1.075002967284835	2.4978713428014157	19498.500543673737	9.0078692129389	cruise
0.59	-19490.00000891605	4.558626041640214	849.9999584209598	-0.873102966086134	2.4978706598424827	19490.000542037422	9.006058713177262	cruise
0.6	-19481.50000933662	4.548903115289099	849.9999573890373	-1.0714823040103534	2.497871323655243	19481.500540417885	9.007843658019938	cruise
